trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
121,2025-10-12 02:00,284,"$4,152.29",53.85%,46.15%,7.7%,2025-10-13 02:00,"$4,214.57",TP,+1.50%,1,WIN
122,2025-10-14 02:00,286,"$4,125.02",50.46%,49.54%,0.9%,2025-10-15 02:00,"$4,186.90",TP,+1.50%,1,WIN
123,2025-10-17 02:00,289,"$3,831.57",56.13%,43.87%,12.3%,2025-10-18 02:00,"$3,889.04",TP,+1.50%,1,WIN
124,2025-10-20 02:00,292,"$3,979.22",58.81%,41.19%,17.6%,2025-10-21 02:00,"$4,038.91",TP,+1.50%,1,WIN
125,2025-10-23 02:00,295,"$3,856.80",51.82%,48.18%,3.6%,2025-10-24 02:00,"$3,914.65",TP,+1.50%,1,WIN
126,2025-10-25 02:00,297,"$3,953.82",54.74%,45.26%,9.5%,2025-10-26 02:00,"$4,013.13",TP,+1.50%,1,WIN
127,2025-10-27 01:00,299,"$4,120.15",55.83%,44.17%,11.7%,2025-10-28 01:00,"$4,089.25",SL,-0.75%,1,LOSS
128,2025-11-02 01:00,305,"$3,906.58",56.65%,43.35%,13.3%,2025-11-03 01:00,"$3,877.28",SL,-0.75%,1,LOSS
129,2025-11-04 01:00,307,"$3,287.05",59.91%,40.09%,19.8%,2025-11-05 01:00,"$3,336.36",TP,+1.50%,1,WIN
130,2025-11-06 01:00,309,"$3,315.14",55.91%,44.09%,11.8%,2025-11-07 01:00,"$3,364.87",TP,+1.50%,1,WIN
131,2025-11-08 01:00,311,"$3,401.51",62.75%,37.25%,25.5%,2025-11-09 01:00,"$3,452.53",TP,+1.50%,1,WIN
132,2025-11-10 01:00,313,"$3,567.85",64.38%,35.62%,28.8%,2025-11-11 01:00,"$3,621.37",TP,+1.50%,1,WIN
133,2025-11-14 01:00,317,"$3,112.40",51.62%,48.38%,3.2%,2025-11-15 01:00,"$3,159.09",TP,+1.50%,1,WIN
134,2025-11-16 01:00,319,"$3,095.29",56.47%,43.53%,12.9%,2025-11-17 01:00,"$3,141.72",TP,+1.50%,1,WIN
135,2025-11-19 01:00,322,"$3,025.48",68.31%,31.69%,36.6%,2025-11-20 01:00,"$3,002.79",SL,-0.75%,1,LOSS
136,2025-11-21 01:00,324,"$2,765.85",52.24%,47.76%,4.5%,2025-11-22 01:00,"$2,745.11",SL,-0.75%,1,LOSS
137,2025-11-23 01:00,326,"$2,802.16",53.05%,46.95%,6.1%,2025-11-24 01:00,"$2,844.19",TP,+1.50%,1,WIN
138,2025-11-25 01:00,328,"$2,959.36",59.27%,40.73%,18.5%,2025-11-26 01:00,"$3,003.75",TP,+1.50%,1,WIN
139,2025-11-27 01:00,330,"$3,015.23",65.70%,34.30%,31.4%,2025-11-28 01:00,"$3,060.46",TP,+1.50%,1,WIN
140,2025-11-29 01:00,332,"$2,989.16",55.72%,44.28%,11.4%,2025-11-30 01:00,"$3,034.00",TP,+1.50%,1,WIN
141,2025-12-01 01:00,334,"$2,799.07",50.44%,49.56%,0.9%,2025-12-02 01:00,"$2,841.06",TP,+1.50%,1,WIN
142,2025-12-04 01:00,337,"$3,133.26",63.49%,36.51%,27.0%,2025-12-05 01:00,"$3,180.26",TP,+1.50%,1,WIN
143,2025-12-06 01:00,339,"$3,038.06",65.10%,34.90%,30.2%,2025-12-07 01:00,"$3,083.63",TP,+1.50%,1,WIN
144,2025-12-08 01:00,341,"$3,124.16",61.50%,38.50%,23.0%,2025-12-09 01:00,"$3,171.02",TP,+1.50%,1,WIN
145,2025-12-10 01:00,343,"$3,324.14",62.25%,37.75%,24.5%,2025-12-11 01:00,"$3,299.21",SL,-0.75%,1,LOSS
146,2025-12-14 01:00,347,"$3,063.50",54.88%,45.12%,9.8%,2025-12-15 01:00,"$3,109.45",TP,+1.50%,1,WIN
147,2025-12-16 01:00,349,"$2,962.30",52.25%,47.75%,4.5%,2025-12-17 01:00,"$3,006.73",TP,+1.50%,1,WIN
